,period,sphere,fo,region,min_tar,max_tar
454,2п. 2020,Теплоснабжение,Приволжский,Удмуртская республика,938.06,5391.88
455,2п. 2020,Водоотведение,Приволжский,Удмуртская республика,4.8,56.6
456,2п. 2019,Холодное водоснабжение,Приволжский,Ульяновская область,12.05,43.43
457,2п. 2019,Теплоснабжение,Приволжский,Ульяновская область,887.96,3454.26
458,2п. 2019,Водоотведение,Приволжский,Ульяновская область,3.08,62.24
459,2п. 2020,Холодное водоснабжение,Приволжский,Ульяновская область,12.46,47.65
460,2п. 2020,Теплоснабжение,Приволжский,Ульяновская область,887.96,3538.25
461,2п. 2020,Водоотведение,Приволжский,Ульяновская область,3.08,62.86
462,2п. 2019,Холодное водоснабжение,Дальневосточный,Хабаровский край,15.45,137.1
463,2п. 2019,Теплоснабжение,Дальневосточный,Хабаровский край,1775.84,11682.5
464,2п. 2019,Водоотведение,Дальневосточный,Хабаровский край,7.42,223.13
465,2п. 2020,Холодное водоснабжение,Дальневосточный,Хабаровский край,16.49,172.37
466,2п. 2020,Теплоснабжение,Дальневосточный,Хабаровский край,2158.62,12267.13
467,2п. 2020,Водоотведение,Дальневосточный,Хабаровский край,8.18,126.32
468,2п. 2019,Холодное водоснабжение,Уральский,Ханты-Мансийский автономный округ,15.1,510.04
469,2п. 2019,Теплоснабжение,Уральский,Ханты-Мансийский автономный округ,330.3,12223.9
470,2п. 2019,Водоотведение,Уральский,Ханты-Мансийский автономный округ,19.08,228.31
471,2п. 2020,Холодное водоснабжение,Уральский,Ханты-Мансийский автономный округ,15.62,694.3
472,2п. 2020,Теплоснабжение,Уральский,Ханты-Мансийский автономный округ,341.84,12663.92
473,2п. 2020,Водоотведение,Уральский,Ханты-Мансийский автономный округ,21.31,236.32
474,2п. 2019,Холодное водоснабжение,Уральский,Челябинская область,5.05,55.31
475,2п. 2019,Теплоснабжение,Уральский,Челябинская область,1204.85,5167.295999999998
476,2п. 2019,Водоотведение,Уральский,Челябинская область,13.17,30.14
477,2п. 2020,Холодное водоснабжение,Уральский,Челябинская область,12.46,42.25
478,2п. 2020,Теплоснабжение,Уральский,Челябинская область,1186.17,4829.604
479,2п. 2020,Водоотведение,Уральский,Челябинская область,13.17,50.33
480,2п. 2019,Холодное водоснабжение,Северо-Кавказский,Чеченская республика,18.52,23.94
481,2п. 2019,Теплоснабжение,Северо-Кавказский,Чеченская республика,1317.67,2735.57
482,2п. 2019,Водоотведение,Северо-Кавказский,Чеченская республика,6.72,23.61
483,2п. 2020,Холодное водоснабжение,Северо-Кавказский,Чеченская республика,9.96,23.68
484,2п. 2020,Теплоснабжение,Северо-Кавказский,Чеченская республика,1269.43,2549.69
485,2п. 2020,Водоотведение,Северо-Кавказский,Чеченская республика,7.16,23.2
486,2п. 2019,Холодное водоснабжение,Приволжский,Чувашская республика,9.64,34.66
487,2п. 2019,Теплоснабжение,Приволжский,Чувашская республика,1230.68,3538.92
488,2п. 2019,Водоотведение,Приволжский,Чувашская республика,11.52,38.43
489,2п. 2020,Холодное водоснабжение,Приволжский,Чувашская республика,9.97,35.89
490,2п. 2020,Теплоснабжение,Приволжский,Чувашская республика,1040.51,2147.87
491,2п. 2020,Водоотведение,Приволжский,Чувашская республика,12.16,52.24
492,2п. 2019,Холодное водоснабжение,Дальневосточный,Чукотский автономный округ,27.35,109.72
493,2п. 2019,Теплоснабжение,Дальневосточный,Чукотский автономный округ,455.08,1535.27
494,2п. 2019,Водоотведение,Дальневосточный,Чукотский автономный округ,4.18,71.59
495,2п. 2020,Холодное водоснабжение,Дальневосточный,Чукотский автономный округ,28.28,115.1
496,2п. 2020,Теплоснабжение,Дальневосточный,Чукотский автономный округ,470.55,1587.47
497,2п. 2020,Водоотведение,Дальневосточный,Чукотский автономный округ,4.32,66.06
498,2п. 2019,Холодное водоснабжение,Уральский,Ямало-Ненецкий автономный округ,26.48,189.86
499,2п. 2019,Теплоснабжение,Уральский,Ямало-Ненецкий автономный округ,293.36,1459.01
500,2п. 2019,Водоотведение,Уральский,Ямало-Ненецкий автономный округ,30.63,67.21
501,2п. 2020,Холодное водоснабжение,Уральский,Ямало-Ненецкий автономный округ,32.06,60.58
502,2п. 2020,Теплоснабжение,Уральский,Ямало-Ненецкий автономный округ,1211.59,1517.37
503,2п. 2020,Водоотведение,Уральский,Ямало-Ненецкий автономный округ,31.86,66.76
504,2п. 2019,Холодное водоснабжение,Центральный,Ярославская область,29.4,133.64
505,2п. 2019,Теплоснабжение,Центральный,Ярославская область,1164.56,4664.49
506,2п. 2019,Водоотведение,Центральный,Ярославская область,20.88,91.43
507,2п. 2020,Холодное водоснабжение,Центральный,Ярославская область,22.1,137.18
508,2п. 2020,Теплоснабжение,Центральный,Ярославская область,1049.21,4727.22
509,2п. 2020,Водоотведение,Центральный,Ярославская область,11.91,91.43
